시군별,연도별,면적 (㎢),면적비율(%),읍,면,행정동,법정동,통,행정리,반
춘천시,1989,53.28,0.3,0,0,23,29,,0,0
원주시,1989,84.19,0.5,0,0,18,18,,0,0
강릉시,1989,76.28,0.5,0,0,19,39,,0,0
동해시,1989,180.16,1.1,0,0,15,36,,0,0
태백시,1989,258.98,1.5,0,0,15,13,,0,0
속초시,1989,104.9,0.6,0,0,13,14,,0,0
삼척시,1989,56.62,0.3,0,0,6,27,,0,0
홍천군,1989,1786.8,10.6,1,9,0,0,,182,867
횡성군,1989,1007.4,6,1,8,0,0,,171,712
영월군,1989,1101.12,6.5,2,7,0,0,,194,968
평창군,1989,1460.1,8.6,1,7,0,0,,183,749
정선군,1989,1200.7,7.1,4,5,0,0,,193,1262
철원군,1989,823.4,4.9,4,7,0,0,,101,556
화천군,1989,955.37,5.7,1,4,0,0,,81,334
양구군,1989,616.75,3.6,1,4,0,0,,76,300
인제군,1989,1937.45,11.5,1,5,0,0,,84,425
고성군,1989,621.42,3.7,2,4,0,0,,125,544
양양군,1989,622.74,3.7,1,5,0,0,,123,417
춘천시,1990,53,0,29,0,23,29,328,0,1632
원주시,1990,84,1,18,0,18,18,305,0,1860
강릉시,1990,76,0,39,0,19,39,238,0,1207
동해시,1990,180,1,36,0,15,36,178,0,915
태백시,1990,259,2,13,0,15,13,166,0,963
속초시,1990,105,1,13,0,13,13,146,0,759
삼척시,1990,57,0,27,0,6,27,83,0,377
홍천군,1990,1787,11,0,9,0,0,0,182,0
횡성군,1990,1008,6,0,8,0,0,0,171,0
영월군,1990,1101,7,0,7,0,0,0,194,0
평창군,1990,1460,9,0,7,0,0,0,183,0
정선군,1990,1200,7,0,5,0,0,0,193,0
철원군,1990,823,5,0,7,0,0,0,101,0
화천군,1990,955,6,0,4,0,0,0,81,0
양구군,1990,617,4,0,4,0,0,0,76,0
인제군,1990,1936,12,0,5,0,0,0,84,0
고성군,1990,621,4,0,4,0,0,0,125,0
양양군,1990,623,4,0,5,0,0,0,123,0
춘천시,1991,53.29,0.3,0,0,23,29,344,0,0
원주시,1991,84.14,0.5,0,0,18,18,313,0,0
강릉시,1991,76.34,0.5,0,0,19,39,249,0,0
동해시,1991,180,1.1,0,0,15,36,188,0,0
태백시,1991,259.42,1.5,0,0,15,13,167,0,0
속초시,1991,104.93,0.6,0,0,13,13,156,0,0
삼척시,1991,56.6,0.3,0,0,6,27,85,0,0
홍천군,1991,1786.71,10.6,1,9,0,0,0,182,1
횡성군,1991,1007.64,6,1,8,0,0,0,172,1
영월군,1991,1101.65,6.5,2,7,0,0,0,194,1
평창군,1991,1460.19,8.7,1,7,0,0,0,183,1
정선군,1991,1200.48,7.1,4,5,0,0,0,193,1
철원군,1991,823.48,4.9,4,7,0,0,0,102,1
화천군,1991,955.27,5.7,1,4,0,0,0,81,1
양구군,1991,617.21,3.7,1,4,0,0,0,76,1
인제군,1991,1936.19,11.5,1,5,0,0,0,85,1
고성군,1991,621.4,3.7,2,4,0,0,0,125,1
양양군,1991,623.03,3.7,1,5,0,0,0,123,1
춘천시,1992,53,0,0,0,23,29,368,0,1848
원주시,1992,84,1,0,0,18,18,344,0,2128
강릉시,1992,76,1,0,0,19,39,264,0,1337
동해시,1992,180,1,0,0,15,36,195,0,1022
태백시,1992,259,2,0,0,15,13,167,0,961
속초시,1992,105,1,0,0,13,13,156,0,832
삼척시,1992,56,0,0,0,6,27,85,0,395
홍천군,1992,1787,11,1,9,0,0,0,182,0
횡성군,1992,1008,6,1,8,0,0,0,172,0
영월군,1992,1102,7,2,7,0,0,0,194,0
평창군,1992,1460,9,1,7,0,0,0,183,0
정선군,1992,1201,7,4,5,0,0,0,193,0
철원군,1992,823,5,4,2,0,0,0,102,0
화천군,1992,954,6,1,4,0,0,0,81,0
양구군,1992,617,4,1,4,0,0,0,76,0
인제군,1992,1936,12,1,5,0,0,0,85,0
고성군,1992,622,4,2,3,0,0,0,125,0
양양군,1992,623,4,1,5,0,0,0,123,0
춘천시,1993,53.3,0.3,0,0,23,29,394,0,0
원주시,1993,84.25,0.5,0,0,18,18,362,0,0
강릉시,1993,76.33,0.5,0,0,19,39,272,0,0
동해시,1993,180.22,1.1,0,0,15,36,198,0,0
태백시,1993,258.4,1.5,0,0,15,13,167,0,0
속초시,1993,104.77,0.6,0,0,13,13,167,0,0
삼척시,1993,53.33,0.3,0,0,6,27,87,0,0
홍천군,1993,1787.04,10.6,1,9,0,0,0,182,867
