연료원,지역,거래일,충전량 합계(Wh),방전량 합계(Wh)
ESS,강원도,2023-06-01,344386646,304608325
ESS,경기도,2023-06-01,86865738,77334892
ESS,경상남도,2023-06-01,45147906,40002643
ESS,경상북도,2023-06-01,348437862,276343324
ESS,광주시,2023-06-01,5828480,4894480
ESS,대구시,2023-06-01,7466340,6210530
ESS,대전시,2023-06-01,224760,181680
ESS,부산시,2023-06-01,4341228,3640060
ESS,서울시,2023-06-01,527520,450520
ESS,세종시,2023-06-01,6359520,5664180
ESS,울산시,2023-06-01,377500,398040
ESS,인천시,2023-06-01,23699740,26235842
ESS,전라남도,2023-06-01,864124312,781804172
ESS,전라북도,2023-06-01,206326518,184280833
ESS,제주도,2023-06-01,17076745,13129235
ESS,충청남도,2023-06-01,509900986,454035588
ESS,충청북도,2023-06-01,214910062,194483856
ESS,강원도,2023-06-02,385236715,342914627
ESS,경기도,2023-06-02,91646048,79897855
ESS,경상남도,2023-06-02,181909542,145287870
ESS,경상북도,2023-06-02,428538564,375269732
ESS,광주시,2023-06-02,12407840,10926000
ESS,대구시,2023-06-02,14361852,12341270
ESS,대전시,2023-06-02,278120,229800
ESS,부산시,2023-06-02,15999252,13380724
ESS,서울시,2023-06-02,645240,556720
ESS,세종시,2023-06-02,7337880,6504940
ESS,울산시,2023-06-02,2458480,1861360
ESS,인천시,2023-06-02,23058277,18931096
ESS,전라남도,2023-06-02,2558080924,2257625583
ESS,전라북도,2023-06-02,315382636,274600569
ESS,제주도,2023-06-02,83074829,72423342
ESS,충청남도,2023-06-02,539045810,472777649
ESS,충청북도,2023-06-02,229458665,205542506
ESS,강원도,2023-06-03,403385171,350737159
ESS,경기도,2023-06-03,98462228,88237648
ESS,경상남도,2023-06-03,166981318,146948345
ESS,경상북도,2023-06-03,421454312,357647726
ESS,광주시,2023-06-03,12315880,10717400
ESS,대구시,2023-06-03,14327552,12310722
ESS,대전시,2023-06-03,279240,229360
ESS,부산시,2023-06-03,13336464,11944452
